empId,lastName,firstName,birthDate,hourlyRate,basicSalary,riceSubsidy,phoneAllowance,clothingAllowance,sssNumber,philHealthNumber,tinNumber,pagIbigNumber
10001,Garcia,Manuel III,10/11/83,535.71,90000.00,1500.00,2000.00,1000.00,4445060573,820126853951,442605657000,691295330870
10002,Lim,Antonio,6/19/88,357.14,60000.00,1500.00,2000.00,1000.00,5220612749,331735646338,683102776000,663904995411
10003,Aquino,Bianca Sofia,8/4/89,357.14,60000.00,1500.00,2000.00,1000.00,3088704062,177451189665,971711280000,171519773969
10004,Reyes,Isabella,6/16/94,357.14,60000.00,1500.00,2000.00,1000.00,4025118150,341911411254,876809437000,416946776041
10005,Hernandez,Eduard,9/23/89,313.51,52670.00,1500.00,1000.00,1000.00,5055776381,957436191812,31702374000,952347222457
10006,Villanueva,Andrea Mae,2/14/88,313.51,52670.00,1500.00,1000.00,1000.00,4916320208,382189453145,317674022000,441093369646
10007,San Jose,Brad,3/15/96,255.80,42975.00,1500.00,800.00,800.00,4024007141,239192926939,672474690000,210850209964
10008,Romualdez,Alice,5/14/92,133.93,22500.00,1500.00,500.00,500.00,5544765272,545652640232,888572294000,211385556888
10009,Atienza,Rosie,9/24/48,133.93,22500.00,1500.00,500.00,500.00,4106446923,708988234853,604997793000,260107732354
10010,Alvaro,Roderick,3/30/88,313.51,52670.00,1500.00,1000.00,1000.00,6476050544,578114853194,525420419000,799254095212
10011,Salcedo,Anthony,9/14/93,302.53,50825.00,1500.00,1000.00,1000.00,2696476083,126445315651,210805911000,218002473454
10012,Lopez,Josie,1/14/87,229.02,38475.00,1500.00,800.00,800.00,4485634483,431709011012,218489737000,113071293354
10013,Farala,Martha,1/11/42,142.86,24000.00,1500.00,500.00,500.00,4556563750,233693897247,210835851000,631130283546
10014,Martinez,Leila,7/11/70,142.86,24000.00,1500.00,500.00,500.00,2720909964,515741057496,275792513000,101205445886
10015,Romualdez,Fredrick,3/10/85,318.45,53500.00,1500.00,1000.00,1000.00,2687683741,308366860059,598065761000,223057707853
10016,Mata,Christian,10/21/87,255.80,42975.00,1500.00,800.00,800.00,4929593126,824187961962,103100522000,631052853464
10017,De Leon,Selena,2/20/75,249.11,41850.00,1500.00,800.00,800.00,2720902088,587272469938,482259498000,719007608464
10018,San Jose,Allison,6/24/86,133.93,22500.00,1500.00,500.00,500.00,4532513830,745148459521,121203336000,114901859343
10019,Rosario,Cydney,10/6/96,133.93,22500.00,1500.00,500.00,500.00,4916299002,579253435499,122244511000,265104358643
10020,Bautista,Mark,2/12/91,138.39,23250.00,1500.00,500.00,500.00,4916473425,399665157135,273970941000,260054585575
10021,Lazaro,Darlene,11/25/85,138.39,23250.00,1500.00,500.00,500.00,4556171682,606386917510,354650951000,104907708845
10022,Delos Santos,Kolby,2/26/80,142.86,24000.00,1500.00,500.00,500.00,5201095706,357451271274,187500345000,113017988667
10023,Santos,Vella,12/31/83,133.93,22500.00,1500.00,500.00,500.00,5298835243,548670482885,101558994000,360028104576
10024,Del Rosario,Tomas,12/18/78,133.93,22500.00,1500.00,500.00,500.00,4558663316,953901539995,560735732000,913108649964
10025,Tolentino,Jacklyn,5/19/84,142.86,24000.00,1500.00,500.00,500.00,4716927930,753800654114,841177857000,210546661243
10026,Gutierrez,Percival,12/18/70,147.32,24750.00,1500.00,500.00,500.00,4095046578,797639382265,502995671000,210897095686
10027,Manalaysay,Garfield,8/28/86,147.32,24750.00,1500.00,500.00,500.00,4532981664,810909286264,336676445000,211274476563
10028,Villegas,Lizeth,12/12/81,142.86,24000.00,1500.00,500.00,500.00,4024007194,934389652994,210395397000,122238077997
10029,Ramos,Carol,8/20/78,133.93,22500.00,1500.00,500.00,500.00,6011522064,351830469744,395032717000,212141893454
10030,Maceda,Emelia,4/14/73,133.93,22500.00,1500.00,500.00,500.00,5413310050,465087894112,215973013000,515012579765
10031,Aguilar,Delia,1/27/89,133.93,22500.00,1500.00,500.00,500.00,5218592531,136451303068,599312588000,110018813465
10032,Castro,John Rafael,2/9/92,313.51,52670.00,1500.00,1000.00,1000.00,2671451334,601644902402,404768309000,697764069311
10033,Martinez,Carlos Ian,11/16/90,313.51,52670.00,1500.00,1000.00,1000.00,1150629727,380685387212,256436296000,993372963726
10034,Santos,Beatriz,8/7/90,313.51,52670.00,1500.00,1000.00,1000.00,2029875015,918460050077,911529713000,874042259378
10035,Wagas,Jem,09/13/1986,98798.00,897897.00,87897.00,8978.00,9789.00,87987698,8797898,8797,89797
10036,Soriano,Sam,01/01/1990,50.00,20000.00,1500.00,500.00,1000.00,7867,87686,875875,785875
10038,Soriano,Verine,01/01/1990,0.00,0.00,0.00,0.00,0.00,6786876,876876795,876868,7868768
10039,Canceran,Anne,01/01/1990,50.00,20000.00,1500.00,500.00,1000.00,56484,16546,32134,6846874
10040,Can,Anne,01/01/1990,50.00,20000.00,1500.00,500.00,1000.00,4564264585,452165875124,364258451248,662158487512
10041,Wagas,Hershey,01/01/1990,0.00,0.00,0.00,0.00,0.00,1234567890,125465878946,124587521546,525845215486
